 ; ; ; ; No strategy ; ; ; Subsumption ; ; ; Ordering ; ; ; Lookahead ; ; ; Order+Look ; ; ; O + L + Sub ; ;
Model ; L ; X ; P ; c ; s ; t ; c ; s ; t ; c ; s ; t ; c ; s ; t ; c ; s ; t ; c ; s ; t
BRP ; 22 ; 7 ; 2 ;10 ; 4512 ; TO ; 10 ; 4468 ; TO ; 10 ; 4459 ; TO ; 10 ; 4453 ; TO ; 10 ; 4459 ; TO ; 10 ; 4504 ; TO
coffee ; 4 ; 2 ; 3 ;1 ; 3101 ; TO ; 1 ; 3114 ; TO ; 1 ; 3111 ; TO ; 1 ; 3109 ; TO ; 1 ; 3106 ; TO ; 1 ; 3107 ; TO
critical-region ; 20 ; 2 ; 2 ;0 ; 6641 ; TO ; 0 ; 6474 ; TO ; 0 ; 6600 ; TO ; 1 ; 4 ; 0.016 ; 1 ; 4 ; 0.017 ; 1 ; 4 ; 0.016
critical-region4 ; 38 ; 4 ; 2 ;0 ; 6590 ; TO ; 0 ; 6588 ; TO ; 0 ; 6598 ; TO ; 1 ; 8 ; 0.036 ; 1 ; 8 ; 0.038 ; 1 ; 8 ; 0.034
F3 ; 18 ; 3 ; 0 ;3 ; 67 ; 0.047 ; 3 ; 67 ; 0.046 ; 3 ; 67 ; 0.047 ; 1 ; 1 ; 0.013 ; 1 ; 1 ; 0.012 ; 1 ; 1 ; 0.012
F4 ; 23 ; 4 ; 2 ;1 ; 5 ; 0.021 ; 1 ; 5 ; 0.023 ; 1 ; 5 ; 0.021 ; 1 ; 1 ; 0.014 ; 1 ; 1 ; 0.016 ; 1 ; 1 ; 0.015
FDDI4 ; 34 ; 13 ; 2 ;1 ; 660 ; 1.672 ; 1 ; 660 ; 1.845 ; 1 ; 660 ; 1.673 ; 1 ; 660 ; 1.694 ; 1 ; 660 ; 1.667 ; 1 ; 660 ; 1.841
FischerAHV93 ; 13 ; 2 ; 4 ;1 ; 12 ; 0.024 ; 1 ; 12 ; 0.020 ; 1 ; 12 ; 0.021 ; 1 ; 11 ; 0.018 ; 1 ; 11 ; 0.018 ; 1 ; 11 ; 0.019
flipflop ; 49 ; 5 ; 2 ;1 ; 8 ; 0.019 ; 1 ; 8 ; 0.019 ; 1 ; 8 ; 0.019 ; 1 ; 8 ; 0.019 ; 1 ; 8 ; 0.018 ; 1 ; 8 ; 0.021
fmtv1A1-v2 ; 15 ; 3 ; 3 ;58 ; 5933 ; 55.509 ; 58 ; 5933 ; 55.143 ; 55 ; 5929 ; 54.290 ; 58 ; 5932 ; 54.754 ; 55 ; 5929 ; 54.036 ; 55 ; 5929 ; 53.808
fmtv1A3-v2 ; 15 ; 3 ; 3 ;0 ; 9778 ; TO ; 0 ; 9619 ; TO ; 0 ; 9544 ; TO ; 0 ; 9601 ; TO ; 0 ; 9570 ; TO ; 0 ; 9544 ; TO
JLR-TACAS13 ; 2 ; 2 ; 2 ;1 ; 5302 ; TO ; 1 ; 5258 ; TO ; 0 ; 5301 ; TO ; 1 ; 5309 ; TO ; 0 ; 5314 ; TO ; 0 ; 5268 ; TO
lynch ; 18 ; 2 ; 1 ;1 ; 5 ; 0.016 ; 1 ; 5 ; 0.014 ; 1 ; 5 ; 0.014 ; 1 ; 4 ; 0.014 ; 1 ; 4 ; 0.014 ; 1 ; 4 ; 0.012
lynch5 ; 45 ; 5 ; 1 ;1 ; 24 ; 0.034 ; 1 ; 24 ; 0.033 ; 1 ; 23 ; 0.037 ; 1 ; 19 ; 0.031 ; 1 ; 19 ; 0.031 ; 1 ; 19 ; 0.033
Pipeline-KP12-2-3 ; 14 ; 4 ; 6 ;11 ; 2281 ; 28.309 ; 12 ; 2281 ; 28.393 ; 52 ; 2843 ; 51.569 ; 11 ; 1856 ; 21.935 ; 52 ; 2767 ; 50.553 ; 52 ; 2767 ; 51.356
Pipeline-KP12-2-5 ; 18 ; 4 ; 6 ;9 ; 3826 ; TO ; 10 ; 3818 ; TO ; 44 ; 3430 ; TO ; 9 ; 3427 ; TO ; 44 ; 3384 ; TO ; 44 ; 3312 ; TO
Pipeline-KP12-3-3 ; 19 ; 5 ; 6 ;5 ; 1792 ; TO ; 5 ; 1735 ; TO ; 4 ; 1167 ; TO ; 3 ; 1510 ; TO ; 4 ; 1154 ; TO ; 4 ; 1077 ; TO
RCP ; 48 ; 6 ; 5 ;1 ; 105 ; 0.178 ; 1 ; 105 ; 0.173 ; 1 ; 105 ; 0.163 ; 1 ; 105 ; 0.171 ; 1 ; 105 ; 0.175 ; 1 ; 105 ; 0.171
Sched2.100.0 ; 17 ; 6 ; 2 ;4 ; 592 ; 2.131 ; 4 ; 592 ; 2.139 ; 4 ; 592 ; 2.131 ; 4 ; 592 ; 2.134 ; 4 ; 592 ; 2.128 ; 4 ; 592 ; 2.141
Sched2.100.2 ; 17 ; 6 ; 2 ;0 ; 3680 ; TO ; 0 ; 3670 ; TO ; 0 ; 3683 ; TO ; 0 ; 3670 ; TO ; 0 ; 3670 ; TO ; 0 ; 3668 ; TO
Sched2.50.0 ; 17 ; 6 ; 2 ;5 ; 637 ; 2.565 ; 5 ; 637 ; 2.586 ; 5 ; 636 ; 2.525 ; 5 ; 637 ; 2.567 ; 5 ; 636 ; 2.522 ; 5 ; 636 ; 2.541
Sched2.50.2 ; 17 ; 6 ; 2 ;0 ; 4374 ; TO ; 0 ; 4375 ; TO ; 0 ; 4368 ; TO ; 0 ; 4380 ; TO ; 0 ; 4348 ; TO ; 0 ; 4408 ; TO
simop ; 46 ; 8 ; 2 ;0 ; 2340 ; TO ; 0 ; 2343 ; TO ; 0 ; 2339 ; TO ; 0 ; 2342 ; TO ; 0 ; 2343 ; TO ; 0 ; 2340 ; TO
spsmall ; 52 ; 11 ; 2 ;142 ; 3966 ; 11.267 ; 142 ; 3966 ; 11.086 ; 142 ; 3412 ; 9.863 ; 142 ; 3349 ; 9.566 ; 142 ; 2663 ; 7.496 ; 142 ; 2663 ; 7.481
tgcTogether2 ; 12 ; 3 ; 6 ;2 ; 52 ; 0.088 ; 2 ; 52 ; 0.080 ; 2 ; 52 ; 0.078 ; 2 ; 47 ; 0.069 ; 2 ; 47 ; 0.068 ; 2 ; 47 ; 0.070
WFAS-BBLS15-det ; 10 ; 4 ; 2 ;2 ; 6338 ; TO ; 2 ; 6303 ; TO ; 0 ; 6395 ; TO ; 2 ; 6313 ; TO ; 0 ; 6381 ; TO ; 0 ; 6360 ; TO
