 ; ; ; ; No strategy ; ; ; Subsumption ; ; ; Ordering ; ; ; Lookahead ; ; ; Order+Look ; ; ; O + L + Sub ; ;
Model ; L ; X ; P ; c ; s ; t ; c ; s ; t ; c ; s ; t ; c ; s ; t ; c ; s ; t ; c ; s ; t
BRP ; 22 ; 7 ; 2 ;17 ; 8560 ; TO ; 17 ; 8689 ; TO ; 17 ; 8559 ; TO ; 17 ; 8819 ; TO ; 17 ; 8436 ; TO ; 17 ; 8496 ; TO
coffee ; 4 ; 2 ; 3 ;0 ; 3149 ; TO ; 0 ; 3149 ; TO ; 0 ; 3147 ; TO ; 0 ; 3149 ; TO ; 0 ; 3141 ; TO ; 0 ; 3149 ; TO
critical-region ; 20 ; 2 ; 2 ;0 ; 9087 ; TO ; 0 ; 9036 ; TO ; 0 ; 9045 ; TO ; 2 ; 7 ; 0.021 ; 2 ; 6 ; 0.024 ; 2 ; 6 ; 0.024
critical-region4 ; 38 ; 4 ; 2 ;0 ; 9551 ; TO ; 0 ; 9576 ; TO ; 0 ; 9560 ; TO ; 2 ; 17 ; 0.057 ; 2 ; 16 ; 0.049 ; 2 ; 16 ; 0.049
F3 ; 18 ; 3 ; 0 ;3 ; 67 ; TO ; 3 ; 67 ; 0.052 ; 3 ; 67 ; TO ; 1 ; 1 ; 0.014 ; 1 ; 1 ; 0.014 ; 1 ; 1 ; 0.012
F4 ; 23 ; 4 ; 2 ;0 ; 5290 ; TO ; 0 ; 5302 ; TO ; 0 ; 5298 ; TO ; 1 ; 1 ; 0.017 ; 1 ; 1 ; 0.020 ; 1 ; 1 ; 0.016
FDDI4 ; 34 ; 13 ; 2 ;2 ; 742 ; TO ; 2 ; 742 ; 1.817 ; 2 ; 742 ; TO ; 2 ; 690 ; 1.575 ; 2 ; 690 ; 1.588 ; 2 ; 690 ; 1.570
FischerAHV93 ; 13 ; 2 ; 4 ;2 ; 24 ; TO ; 2 ; 24 ; 0.031 ; 2 ; 19 ; TO ; 1 ; 11 ; 0.022 ; 1 ; 11 ; 0.023 ; 1 ; 11 ; 0.024
flipflop ; 49 ; 5 ; 2 ;6 ; 20 ; TO ; 6 ; 20 ; 0.034 ; 6 ; 20 ; TO ; 6 ; 18 ; 0.032 ; 6 ; 18 ; 0.030 ; 6 ; 18 ; 0.030
fmtv1A1-v2 ; 15 ; 3 ; 3 ;75 ; 4223 ; TO ; 75 ; 4285 ; TO ; 80 ; 4454 ; TO ; 75 ; 4317 ; TO ; 66 ; 4624 ; TO ; 66 ; 4627 ; TO
fmtv1A3-v2 ; 15 ; 3 ; 3 ;116 ; 5140 ; TO ; 112 ; 4910 ; TO ; 123 ; 4839 ; TO ; 114 ; 4935 ; TO ; 108 ; 5051 ; TO ; 108 ; 5048 ; TO
JLR-TACAS13 ; 2 ; 2 ; 2 ;0 ; 5191 ; TO ; 0 ; 5181 ; TO ; 1268 ; 2538 ; TO ; 0 ; 5203 ; TO ; 1325 ; 2651 ; TO ; 1344 ; 2689 ; TO
