./generate_strategies.sh -o table1.csv
 ; ; ; ; Subsumption ; ; ; ; ; Lookahead ; ; ; ; ; Lookahead + Acceptfirst ; ; ; ; ; S + L + A ; ; ; ; ; S + L + A + layers; ; ; ;
Model ; L ; X ; P ; d ; m ; c ; s ; t ; d ; m ; c ; s ; t ; d ; m ; c ; s ; t ; d ; m ; c ; s ; t ; d ; m ; c ; s ; t ; d ; m ; c ; s ; t
BRP ; 22 ; 7 ; 2 ;32 ; 18 ; 28 ; 10466 ; TO ; 32 ; 12 ; 29 ; 10451 ; TO ; 32 ; 12 ; 29 ; 10481 ; TO ; 32 ; 12 ; 29 ; 10492 ; TO ; 31 ; 16 ; 10 ; 5660 ; TO
coffee ; 4 ; 2 ; 3 ;3630 ; --- ; 0 ; 3631 ; TO ; 3635 ; --- ; 0 ; 3636 ; TO ; 3620 ; --- ; 0 ; 3621 ; TO ; 3614 ; --- ; 0 ; 3615 ; TO ; 3580 ; 4 ; 1 ; 3585 ; TO
critical-region ; 20 ; 2 ; 2 ;10000 ; --- ; 0 ; 10001 ; TO ; 4 ; 3 ; 2 ; 7 ; 0.016 ; 4 ; 3 ; 2 ; 6 ; 0.014 ; 4 ; 3 ; 2 ; 6 ; 0.014 ; 3 ; 3 ; 1 ; 4 ; 0.011
critical-region4 ; 38 ; 4 ; 2 ;10477 ; --- ; 0 ; 10478 ; TO ; 10 ; 7 ; 2 ; 17 ; 0.040 ; 10 ; 7 ; 2 ; 16 ; 0.041 ; 10 ; 7 ; 2 ; 16 ; 0.040 ; 7 ; 7 ; 1 ; 8 ; 0.026
F3 ; 18 ; 3 ; 2 ;7069 ; --- ; 0 ; 7070 ; TO ; 0 ; 0 ; 1 ; 1 ; 0.013 ; 0 ; 0 ; 1 ; 1 ; 0.011 ; 0 ; 0 ; 1 ; 1 ; 0.012 ; 0 ; 0 ; 1 ; 1 ; 0.011
F4 ; 23 ; 4 ; 2 ;5880 ; --- ; 0 ; 5881 ; TO ; 0 ; 0 ; 1 ; 1 ; 0.016 ; 0 ; 0 ; 1 ; 1 ; 0.014 ; 0 ; 0 ; 1 ; 1 ; 0.015 ; 0 ; 0 ; 1 ; 1 ; 0.020
FDDI4 ; 34 ; 13 ; 2 ;90 ; 36 ; 2 ; 742 ; 2.152 ; 90 ; 32 ; 2 ; 690 ; 1.638 ; 90 ; 32 ; 2 ; 690 ; 1.541 ; 90 ; 32 ; 2 ; 690 ; 1.497 ; 110 ; 101 ; 1 ; 660 ; 1.524
FischerAHV93 ; 13 ; 2 ; 4 ;15 ; 4 ; 2 ; 24 ; 0.027 ; 4 ; 3 ; 1 ; 11 ; 0.019 ; 4 ; 3 ; 1 ; 11 ; 0.017 ; 4 ; 3 ; 1 ; 11 ; 0.016 ; 4 ; 3 ; 1 ; 11 ; 0.017
flipflop ; 49 ; 5 ; 2 ;7 ; 5 ; 6 ; 20 ; 0.032 ; 7 ; 5 ; 6 ; 18 ; 0.029 ; 7 ; 5 ; 6 ; 18 ; 0.031 ; 7 ; 5 ; 6 ; 18 ; 0.032 ; 7 ; 7 ; 1 ; 8 ; 0.019
fmtv1A1-v2 ; 15 ; 3 ; 3 ;30 ; 13 ; 75 ; 4775 ; TO ; 30 ; 13 ; 75 ; 4939 ; TO ; 30 ; 13 ; 66 ; 5304 ; TO ; 30 ; 13 ; 66 ; 5347 ; TO ; 29 ; 13 ; 55 ; 5929 ; 58.620
fmtv1A3-v2 ; 15 ; 3 ; 3 ;40 ; 26 ; 127 ; 5669 ; TO ; 40 ; 26 ; 127 ; 5683 ; TO ; 40 ; 26 ; 118 ; 5761 ; TO ; 40 ; 26 ; 118 ; 5773 ; TO ; 45 ; --- ; 0 ; 11988 ; TO
JLR-TACAS13 ; 2 ; 2 ; 2 ;6045 ; --- ; 0 ; 6046 ; TO ; 5927 ; --- ; 0 ; 5928 ; TO ; 1428 ; 1 ; 1428 ; 2857 ; TO ; 1452 ; 1 ; 1452 ; 2904 ; TO ; 5897 ; --- ; 0 ; 5898 ; TO
lynch ; 18 ; 2 ; 1 ;4 ; 3 ; 1 ; 5 ; 0.012 ; 3 ; 3 ; 1 ; 4 ; 0.012 ; 3 ; 3 ; 1 ; 4 ; 0.011 ; 3 ; 3 ; 1 ; 4 ; 0.015 ; 3 ; 3 ; 1 ; 4 ; 0.012
lynch5 ; 45 ; 5 ; 1 ;10 ; 9 ; 1 ; 24 ; 0.032 ; 7 ; 7 ; 1 ; 19 ; 0.026 ; 7 ; 7 ; 1 ; 19 ; 0.027 ; 7 ; 7 ; 1 ; 19 ; 0.025 ; 7 ; 7 ; 1 ; 19 ; 0.025
Pipeline-KP12-2-3 ; 14 ; 4 ; 6 ;544 ; 81 ; 31 ; 3548 ; TO ; 560 ; 36 ; 64 ; 2368 ; TO ; 73 ; 29 ; 94 ; 1880 ; TO ; 73 ; 29 ; 103 ; 1994 ; TO ; 49 ; 32 ; 52 ; 2559 ; TO
Pipeline-KP12-2-5 ; 18 ; 4 ; 6 ;997 ; 756 ; 12 ; 3593 ; TO ; 110 ; 50 ; 70 ; 2711 ; TO ; 101 ; 39 ; 76 ; 2031 ; TO ; 101 ; 39 ; 76 ; 2029 ; TO ; 69 ; 44 ; 33 ; 2565 ; TO
Pipeline-KP12-3-3 ; 19 ; 5 ; 6 ;689 ; 448 ; 8 ; 1499 ; TO ; 132 ; 57 ; 27 ; 1019 ; TO ; 128 ; 50 ; 25 ; 898 ; TO ; 128 ; 50 ; 25 ; 898 ; TO ; 112 ; 59 ; 4 ; 1382 ; TO
RCP ; 48 ; 6 ; 5 ;74 ; 8 ; 12 ; 237 ; 0.705 ; 74 ; 8 ; 12 ; 237 ; 0.685 ; 74 ; 8 ; 12 ; 237 ; 0.701 ; 74 ; 8 ; 12 ; 237 ; 0.690 ; 50 ; 50 ; 1 ; 105 ; 0.126
Sched2.100.0 ; 17 ; 6 ; 2 ;132 ; 3 ; 19 ; 872 ; 4.488 ; 132 ; 3 ; 19 ; 872 ; 4.463 ; 132 ; 2 ; 19 ; 869 ; 4.424 ; 132 ; 2 ; 19 ; 869 ; 4.481 ; 174 ; 20 ; 4 ; 592 ; 1.923
Sched2.100.2 ; 17 ; 6 ; 2 ;1268 ; 3 ; 21 ; 2965 ; TO ; 1262 ; 3 ; 21 ; 2959 ; TO ; 1276 ; 2 ; 21 ; 2970 ; TO ; 1245 ; 2 ; 21 ; 2939 ; TO ; 3699 ; --- ; 0 ; 4564 ; TO
Sched2.50.0 ; 17 ; 6 ; 2 ;132 ; 7 ; 19 ; 756 ; 3.419 ; 132 ; 7 ; 19 ; 756 ; 3.352 ; 132 ; 6 ; 19 ; 752 ; 3.303 ; 132 ; 6 ; 19 ; 752 ; 3.341 ; 242 ; 31 ; 5 ; 636 ; 2.190
Sched2.50.2 ; 17 ; 6 ; 2 ;1945 ; 7 ; 22 ; 3590 ; TO ; 1946 ; 7 ; 22 ; 3591 ; TO ; 1943 ; 6 ; 22 ; 3584 ; TO ; 1950 ; 6 ; 22 ; 3597 ; TO ; 3053 ; --- ; 0 ; 5173 ; TO
simop ; 46 ; 8 ; 2 ;2757 ; --- ; 0 ; 2758 ; TO ; 2755 ; --- ; 0 ; 2756 ; TO ; 2757 ; --- ; 0 ; 2758 ; TO ; 2748 ; --- ; 0 ; 2749 ; TO ; 2742 ; --- ; 0 ; 2743 ; TO
spsmall ; 52 ; 11 ; 2 ;34 ; 30 ; 142 ; 4036 ; 14.323 ; 34 ; 26 ; 142 ; 3445 ; 11.204 ; 34 ; 25 ; 142 ; 2634 ; 8.799 ; 34 ; 25 ; 142 ; 2634 ; 8.853 ; 34 ; 25 ; 142 ; 2663 ; 6.090
