./generate_iterative.sh -o table2.csv
 ; ; ; ; init=5, step=5 ; ; ; ; ; init=5, step=5, nogreen ; ; ; ; ; init=10, step=5 ; ; ; ; ; init=10, step=10 ; ; ; ; ; init=0, step=1 ; ; ; ; ; BFS ; ;
Model ; L ; X ; P ; d ; m ; c ; s ; t ; d ; m ; c ; s ; t ; d ; m ; c ; s ; t ; d ; m ; c ; s ; t ; d ; m ; c ; s ; t ; d ; s ; t
BRP ; 22 ; 7 ; 2 ;20 ; 12 ; 21 ; 9255 ; TO ; 20 ; 12 ; 21 ; 9792 ; TO ; 20 ; 12 ; 21 ; 9586 ; TO ; 20 ; 12 ; 28 ; 7513 ; TO ; 20 ; 12 ; 18 ; 22265 ; TO ; 17814 ;17814 ; TO
coffee ; 4 ; 2 ; 3 ;2320 ; 4 ; 1 ; 541232 ; TO ; 2060 ; 4 ; 1 ; 426606 ; TO ; 2304 ; 4 ; 6 ; 532949 ; TO ; 2751 ; 4 ; 6 ; 382567 ; TO ; 1254 ; 4 ; 1 ; 788151 ; TO ; 7427 ;7427 ; TO
critical-region ; 20 ; 2 ; 2 ;4 ; 3 ; 2 ; 6 ; 0.014 ; 4 ; 3 ; 2 ; 6 ; 0.018 ; 4 ; 3 ; 2 ; 6 ; 0.014 ; 4 ; 3 ; 2 ; 6 ; 0.015 ; 2 ; 2 ; 1 ; 9 ; 0.048 ; 61 ;61 ; 0.026
critical-region4 ; 38 ; 4 ; 2 ;5 ; 5 ; 1 ; 62 ; 0.142 ; 5 ; 5 ; 1 ; 62 ; 0.142 ; 10 ; 7 ; 2 ; 16 ; 0.041 ; 10 ; 7 ; 2 ; 16 ; 0.039 ; 4 ; 4 ; 1 ; 269 ; 0.476 ; 5312 ;5312 ; 2.994
F3 ; 18 ; 3 ; 2 ;0 ; 0 ; 1 ; 1 ; 0.012 ; 0 ; 0 ; 1 ; 1 ; 0.013 ; 0 ; 0 ; 1 ; 1 ; 0.012 ; 0 ; 0 ; 1 ; 1 ; 0.012 ; 0 ; 0 ; 1 ; 1 ; 0.011 ; 13 ;13 ; 0.017
F4 ; 23 ; 4 ; 2 ;0 ; 0 ; 1 ; 1 ; 0.014 ; 0 ; 0 ; 1 ; 1 ; 0.012 ; 0 ; 0 ; 1 ; 1 ; 0.012 ; 0 ; 0 ; 1 ; 1 ; 0.012 ; 0 ; 0 ; 1 ; 1 ; 0.013 ; 21 ;21 ; 0.019
FDDI4 ; 34 ; 13 ; 2 ;70 ; 32 ; 2 ; 2535 ; 2.148 ; 70 ; 32 ; 2 ; 4813 ; 2.468 ; 70 ; 32 ; 2 ; 2522 ; 2.127 ; 70 ; 32 ; 2 ; 1560 ; 1.767 ; 70 ; 32 ; 2 ; 9948 ; 3.932 ; 928 ;928 ; 2.313
FischerAHV93 ; 13 ; 2 ; 4 ;4 ; 3 ; 1 ; 11 ; 0.017 ; 4 ; 3 ; 1 ; 11 ; 0.015 ; 4 ; 3 ; 1 ; 11 ; 0.021 ; 4 ; 3 ; 1 ; 11 ; 0.016 ; 4 ; 3 ; 1 ; 39 ; 0.070 ; 22 ;22 ; 0.027
flipflop ; 49 ; 5 ; 2 ;7 ; 5 ; 6 ; 27 ; 0.041 ; 7 ; 5 ; 6 ; 27 ; 0.041 ; 7 ; 5 ; 6 ; 18 ; 0.025 ; 7 ; 5 ; 6 ; 18 ; 0.025 ; 7 ; 5 ; 6 ; 55 ; 0.105 ; 20 ;20 ; 0.031
fmtv1A1-v2 ; 15 ; 3 ; 3 ;30 ; 13 ; 51 ; 14871 ; 94.272 ; 30 ; 13 ; 51 ; 18680 ; 103.101 ; 30 ; 13 ; 51 ; 14838 ; 94.305 ; 30 ; 13 ; 60 ; 9709 ; 109.790 ; 29 ; 13 ; 45 ; 48367 ; 86.941 ; 6682 ;6682 ; 93.761
fmtv1A3-v2 ; 15 ; 3 ; 3 ;20 ; 13 ; 21 ; 19026 ; TO ; 20 ; 13 ; 21 ; 19102 ; TO ; 20 ; 13 ; 21 ; 18843 ; TO ; 20 ; 13 ; 22 ; 13645 ; TO ; 20 ; 13 ; 13 ; 69355 ; TO ; 15325 ;15325 ; TO
JLR-TACAS13 ; 2 ; 2 ; 2 ;2070 ; 1 ; 2070 ; 433337 ; TO ; 1525 ; 1 ; 1525 ; 235867 ; TO ; 2087 ; 1 ; 2087 ; 440351 ; TO ; 2760 ; 1 ; 2760 ; 387279 ; TO ; 1028 ; 1 ; 1028 ; 531727 ; TO ; 2925 ;2925 ; TO
lynch ; 18 ; 2 ; 1 ;3 ; 3 ; 1 ; 4 ; 0.012 ; 3 ; 3 ; 1 ; 4 ; 0.012 ; 3 ; 3 ; 1 ; 4 ; 0.011 ; 3 ; 3 ; 1 ; 4 ; 0.014 ; 3 ; 3 ; 1 ; 15 ; 0.051 ; 19 ;19 ; 0.018
lynch5 ; 45 ; 5 ; 1 ;5 ; 5 ; 1 ; 76 ; 0.113 ; 5 ; 5 ; 1 ; 76 ; 0.104 ; 7 ; 7 ; 1 ; 19 ; 0.026 ; 7 ; 7 ; 1 ; 19 ; 0.026 ; 3 ; 3 ; 1 ; 102 ; 0.156 ; 599 ;599 ; 0.367
Pipeline-KP12-2-3 ; 14 ; 4 ; 6 ;15 ; --- ; 0 ; 3565 ; TO ; 15 ; --- ; 0 ; 3551 ; TO ; 15 ; --- ; 0 ; 3552 ; TO ; 20 ; --- ; 0 ; 2465 ; TO ; 13 ; --- ; 0 ; 6716 ; TO ; 7719 ;7719 ; TO
Pipeline-KP12-2-5 ; 18 ; 4 ; 6 ;15 ; --- ; 0 ; 4044 ; TO ; 15 ; --- ; 0 ; 3906 ; TO ; 15 ; --- ; 0 ; 3928 ; TO ; 20 ; --- ; 0 ; 4691 ; TO ; 15 ; --- ; 0 ; 7998 ; TO ; 13815 ;13815 ; TO
Pipeline-KP12-3-3 ; 19 ; 5 ; 6 ;15 ; --- ; 0 ; 4272 ; TO ; 15 ; --- ; 0 ; 4285 ; TO ; 15 ; --- ; 0 ; 4269 ; TO ; 20 ; --- ; 0 ; 3652 ; TO ; 14 ; --- ; 0 ; 9077 ; TO ; 16377 ;16377 ; TO
RCP ; 48 ; 6 ; 5 ;10 ; 8 ; 6 ; 351 ; 0.417 ; 10 ; 8 ; 6 ; 351 ; 0.454 ; 10 ; 8 ; 6 ; 146 ; 0.309 ; 10 ; 8 ; 6 ; 146 ; 0.322 ; 10 ; 8 ; 7 ; 1575 ; 0.854 ; 1230 ;1230 ; 1.632
