./generate_iter_from_previous.sh -o table_fromP.csv -g
Model ; L ; X ; P ; i ; d ; m ; c ; s ; t 
BRP ; 22 ; 7 ; 2 ; 12 ; 22 ; 12 ; 16 ; 8628 ; TO
coffee ; 4 ; 2 ; 3 ; 4 ; 2034 ; 4 ; 1 ; 417151 ; TO
critical-region ; 20 ; 2 ; 2 ; 3 ; 3 ; 3 ; 1 ; 5 ; 0.022
critical-region4 ; 38 ; 4 ; 2 ; 5 ; 5 ; 5 ; 1 ; 62 ; 0.141
F3 ; 18 ; 3 ; 2 ; 0 ; 0 ; 0 ; 1 ; 1 ; 0.011
F4 ; 23 ; 4 ; 2 ; 0 ; 0 ; 0 ; 1 ; 1 ; 0.014
FDDI4 ; 34 ; 13 ; 2 ; 32 ; 70 ; 32 ; 2 ; 1854 ; 1.850
FischerAHV93 ; 13 ; 2 ; 4 ; 3 ; 4 ; 3 ; 1 ; 19 ; 0.027
flipflop ; 49 ; 5 ; 2 ; 5 ; 7 ; 5 ; 6 ; 27 ; 0.040
fmtv1A1-v2 ; 15 ; 3 ; 3 ; 13 ; 28 ; 13 ; 49 ; 12903 ; TO
fmtv1A3-v2 ; 15 ; 3 ; 3 ; 13 ; 23 ; 13 ; 8 ; 17217 ; TO
JLR-TACAS13 ; 2 ; 2 ; 2 ; 1 ; 1841 ; 1 ; 1841 ; 342942 ; TO
lynch ; 18 ; 2 ; 1 ; 3 ; 3 ; 3 ; 1 ; 4 ; 0.011
lynch5 ; 45 ; 5 ; 1 ; 5 ; 5 ; 5 ; 1 ; 76 ; 0.101
Pipeline-KP12-2-3 ; 14 ; 4 ; 6 ; 29 ; 29 ; 26 ; 10 ; 2483 ; TO
Pipeline-KP12-2-5 ; 18 ; 4 ; 6 ; 39 ; 39 ; --- ; 0 ; 2477 ; TO
Pipeline-KP12-3-3 ; 19 ; 5 ; 6 ; 50 ; 50 ; --- ; 0 ; 955 ; TO
RCP ; 48 ; 6 ; 5 ; 8 ; 13 ; 8 ; 7 ; 426 ; 0.702
Sched2.100.0 ; 17 ; 6 ; 2 ; 2 ; 104 ; 2 ; 7 ; 7218 ; 5.023
Sched2.100.2 ; 17 ; 6 ; 2 ; 2 ; 132 ; 2 ; 11 ; 27099 ; TO
Sched2.50.0 ; 17 ; 6 ; 2 ; 6 ; 104 ; 6 ; 8 ; 5814 ; 4.044
Sched2.50.2 ; 17 ; 6 ; 2 ; 6 ; 136 ; 6 ; 11 ; 23548 ; TO
simop ; 46 ; 8 ; 2 ; 15 ; 25 ; 15 ; 53 ; 13140 ; TO
spsmall ; 52 ; 11 ; 2 ; 25 ; 34 ; 25 ; 142 ; 5061 ; 8.032
tgcTogether2 ; 12 ; 3 ; 6 ; 13 ; 18 ; 13 ; 4 ; 163 ; 0.172
WFAS-BBLS15-det ; 10 ; 4 ; 2 ; 3 ; 1883 ; 3 ; 9 ; 357079 ; TO
