./generate_iterative.sh -o table_i10_s10.csv -d 10 -s 10 -g
initial depth 10, step 10
Model ; L ; X ; P ; d ; m ; c ; s ; t
BRP ; 22 ; 7 ; 2 ;20 ; 12 ; 26 ; 6132 ; TO
coffee ; 4 ; 2 ; 3 ;2406 ; 4 ; 6 ; 291887 ; TO
critical-region ; 20 ; 2 ; 2 ;4 ; 3 ; 2 ; 6 ; 0.013
critical-region4 ; 38 ; 4 ; 2 ;10 ; 7 ; 2 ; 16 ; 0.040
F3 ; 18 ; 3 ; 2 ;0 ; 0 ; 1 ; 1 ; 0.013
F4 ; 23 ; 4 ; 2 ;0 ; 0 ; 1 ; 1 ; 0.012
FDDI4 ; 34 ; 13 ; 2 ;70 ; 32 ; 2 ; 1560 ; 1.806
FischerAHV93 ; 13 ; 2 ; 4 ;4 ; 3 ; 1 ; 11 ; 0.015
flipflop ; 49 ; 5 ; 2 ;7 ; 5 ; 6 ; 18 ; 0.030
fmtv1A1-v2 ; 15 ; 3 ; 3 ;30 ; 13 ; 60 ; 8807 ; TO
fmtv1A3-v2 ; 15 ; 3 ; 3 ;20 ; 13 ; 22 ; 11243 ; TO
JLR-TACAS13 ; 2 ; 2 ; 2 ;2410 ; 1 ; 2410 ; 294928 ; TO
lynch ; 18 ; 2 ; 1 ;3 ; 3 ; 1 ; 4 ; 0.011
lynch5 ; 45 ; 5 ; 1 ;7 ; 7 ; 1 ; 19 ; 0.025
Pipeline-KP12-2-3 ; 14 ; 4 ; 6 ;20 ; --- ; 0 ; 2058 ; TO
Pipeline-KP12-2-5 ; 18 ; 4 ; 6 ;20 ; --- ; 0 ; 4240 ; TO
Pipeline-KP12-3-3 ; 19 ; 5 ; 6 ;20 ; --- ; 0 ; 3050 ; TO
RCP ; 48 ; 6 ; 5 ;10 ; 8 ; 6 ; 146 ; 0.324
Sched2.100.0 ; 17 ; 6 ; 2 ;104 ; 2 ; 10 ; 3966 ; 3.688
Sched2.100.2 ; 17 ; 6 ; 2 ;130 ; 2 ; 14 ; 15402 ; TO
Sched2.50.0 ; 17 ; 6 ; 2 ;104 ; 6 ; 9 ; 3244 ; 2.647
Sched2.50.2 ; 17 ; 6 ; 2 ;140 ; 6 ; 12 ; 14435 ; TO
simop ; 46 ; 8 ; 2 ;30 ; 20 ; 59 ; 11739 ; TO
spsmall ; 52 ; 11 ; 2 ;34 ; 25 ; 142 ; 5179 ; 9.364
tgcTogether2 ; 12 ; 3 ; 6 ;18 ; 13 ; 4 ; 134 ; 0.180
WFAS-BBLS15-det ; 10 ; 4 ; 2 ;2550 ; 3 ; 12 ; 327472 ; TO
