./generate_iterative.sh -g -o table_i5_s5.csv
initial depth 5, step 5
Model ; L ; X ; P ; d ; m ; c ; s ; t
BRP ; 22 ; 7 ; 2 ;20 ; 12 ; 19 ; 7749 ; TO
coffee ; 4 ; 2 ; 3 ;2030 ; 4 ; 1 ; 415165 ; TO
critical-region ; 20 ; 2 ; 2 ;4 ; 3 ; 2 ; 6 ; 0.017
critical-region4 ; 38 ; 4 ; 2 ;5 ; 5 ; 1 ; 62 ; 0.144
F3 ; 18 ; 3 ; 2 ;0 ; 0 ; 1 ; 1 ; 0.014
F4 ; 23 ; 4 ; 2 ;0 ; 0 ; 1 ; 1 ; 0.012
FDDI4 ; 34 ; 13 ; 2 ;70 ; 32 ; 2 ; 2535 ; 2.091
FischerAHV93 ; 13 ; 2 ; 4 ;4 ; 3 ; 1 ; 11 ; 0.015
flipflop ; 49 ; 5 ; 2 ;7 ; 5 ; 6 ; 27 ; 0.038
fmtv1A1-v2 ; 15 ; 3 ; 3 ;30 ; 13 ; 51 ; 14400 ; TO
fmtv1A3-v2 ; 15 ; 3 ; 3 ;20 ; 13 ; 21 ; 16654 ; TO
JLR-TACAS13 ; 2 ; 2 ; 2 ;1860 ; 1 ; 1860 ; 349122 ; TO
lynch ; 18 ; 2 ; 1 ;3 ; 3 ; 1 ; 4 ; 0.014
lynch5 ; 45 ; 5 ; 1 ;5 ; 5 ; 1 ; 76 ; 0.094
Pipeline-KP12-2-3 ; 14 ; 4 ; 6 ;15 ; --- ; 0 ; 3261 ; TO
Pipeline-KP12-2-5 ; 18 ; 4 ; 6 ;15 ; --- ; 0 ; 3626 ; TO
Pipeline-KP12-3-3 ; 19 ; 5 ; 6 ;15 ; --- ; 0 ; 3929 ; TO
RCP ; 48 ; 6 ; 5 ;10 ; 8 ; 6 ; 351 ; 0.454
Sched2.100.0 ; 17 ; 6 ; 2 ;104 ; 2 ; 10 ; 7120 ; 4.958
Sched2.100.2 ; 17 ; 6 ; 2 ;130 ; 2 ; 14 ; 27067 ; TO
Sched2.50.0 ; 17 ; 6 ; 2 ;104 ; 6 ; 9 ; 5782 ; 3.539
Sched2.50.2 ; 17 ; 6 ; 2 ;135 ; 6 ; 12 ; 23097 ; TO
simop ; 46 ; 8 ; 2 ;25 ; 15 ; 53 ; 13526 ; TO
spsmall ; 52 ; 11 ; 2 ;34 ; 25 ; 142 ; 7342 ; 8.767
tgcTogether2 ; 12 ; 3 ; 6 ;15 ; 13 ; 3 ; 168 ; 0.176
WFAS-BBLS15-det ; 10 ; 4 ; 2 ;1835 ; 3 ; 9 ; 339211 ; TO
