./generate_strategies.sh -g -o table_no_layer.csv
 ; ; ; ; No strategy ; ; ; ; ; Subsumption ; ; ; ; ; AcceptFirst ; ; ; ; ; Lookahead ; ; ; ; ; Accept+Look ; ; ; ; ; A + L + Sub ; ; ; ;
Model ; L ; X ; P ; d ; m ; c ; s ; t ; d ; m ; c ; s ; t ; d ; m ; c ; s ; t ; d ; m ; c ; s ; t ; d ; m ; c ; s ; t ; d ; m ; c ; s ; t
BRP ; 22 ; 7 ; 2 ;31 ; 18 ; 16 ; 6193 ; TO ; 31 ; 18 ; 17 ; 7488 ; TO ; 31 ; 18 ; 17 ; 6991 ; TO ; 31 ; 15 ; 17 ; 6742 ; TO ; 31 ; 14 ; 16 ; 6510 ; TO ; 31 ; 14 ; 17 ; 6790 ; TO
coffee ; 4 ; 2 ; 3 ;3144 ; --- ; 0 ; 3145 ; TO ; 3209 ; --- ; 0 ; 3210 ; TO ; 3181 ; --- ; 0 ; 3182 ; TO ; 3180 ; --- ; 0 ; 3181 ; TO ; 3188 ; --- ; 0 ; 3189 ; TO ; 3197 ; --- ; 0 ; 3198 ; TO
critical-region ; 20 ; 2 ; 2 ;9224 ; --- ; 0 ; 9225 ; TO ; 9149 ; --- ; 0 ; 9150 ; TO ; 9197 ; --- ; 0 ; 9198 ; TO ; 4 ; 3 ; 2 ; 7 ; 0.014 ; 4 ; 3 ; 2 ; 6 ; 0.015 ; 4 ; 3 ; 2 ; 6 ; 0.015
critical-region4 ; 38 ; 4 ; 2 ;9685 ; --- ; 0 ; 9686 ; TO ; 9790 ; --- ; 0 ; 9791 ; TO ; 9863 ; --- ; 0 ; 9864 ; TO ; 10 ; 7 ; 2 ; 17 ; 0.040 ; 10 ; 7 ; 2 ; 16 ; 0.040 ; 10 ; 7 ; 2 ; 16 ; 0.038
F3 ; 18 ; 3 ; 2 ;6553 ; --- ; 0 ; 6554 ; TO ; 6441 ; --- ; 0 ; 6442 ; TO ; 6537 ; --- ; 0 ; 6538 ; TO ; 0 ; 0 ; 1 ; 1 ; 0.011 ; 0 ; 0 ; 1 ; 1 ; 0.011 ; 0 ; 0 ; 1 ; 1 ; 0.010
F4 ; 23 ; 4 ; 2 ;5401 ; --- ; 0 ; 5402 ; TO ; 5412 ; --- ; 0 ; 5413 ; TO ; 5365 ; --- ; 0 ; 5366 ; TO ; 0 ; 0 ; 1 ; 1 ; 0.015 ; 0 ; 0 ; 1 ; 1 ; 0.012 ; 0 ; 0 ; 1 ; 1 ; 0.011
FDDI4 ; 34 ; 13 ; 2 ;90 ; 36 ; 2 ; 742 ; TO ; 90 ; 36 ; 2 ; 742 ; 1.542 ; 90 ; 36 ; 2 ; 742 ; TO ; 90 ; 32 ; 2 ; 690 ; 1.434 ; 90 ; 32 ; 2 ; 690 ; 1.429 ; 90 ; 32 ; 2 ; 690 ; 1.409
FischerAHV93 ; 13 ; 2 ; 4 ;15 ; 4 ; 2 ; 24 ; TO ; 15 ; 4 ; 2 ; 24 ; 0.025 ; 10 ; 4 ; 2 ; 19 ; TO ; 4 ; 3 ; 1 ; 11 ; 0.015 ; 4 ; 3 ; 1 ; 11 ; 0.016 ; 4 ; 3 ; 1 ; 11 ; 0.018
flipflop ; 49 ; 5 ; 2 ;7 ; 5 ; 6 ; 20 ; TO ; 7 ; 5 ; 6 ; 20 ; 0.033 ; 7 ; 5 ; 6 ; 20 ; TO ; 7 ; 5 ; 6 ; 18 ; 0.031 ; 7 ; 5 ; 6 ; 18 ; 0.028 ; 7 ; 5 ; 6 ; 18 ; 0.038
fmtv1A1-v2 ; 15 ; 3 ; 3 ;30 ; 13 ; 75 ; 4085 ; TO ; 30 ; 13 ; 75 ; 3858 ; TO ; 30 ; 13 ; 80 ; 4019 ; TO ; 30 ; 13 ; 75 ; 4054 ; TO ; 30 ; 13 ; 66 ; 4430 ; TO ; 30 ; 13 ; 66 ; 4443 ; TO
fmtv1A3-v2 ; 15 ; 3 ; 3 ;40 ; 26 ; 112 ; 4833 ; TO ; 40 ; 26 ; 112 ; 4752 ; TO ; 40 ; 26 ; 123 ; 4602 ; TO ; 40 ; 26 ; 112 ; 4884 ; TO ; 40 ; 26 ; 105 ; 4932 ; TO ; 40 ; 26 ; 104 ; 4917 ; TO
JLR-TACAS13 ; 2 ; 2 ; 2 ;5578 ; --- ; 0 ; 5579 ; TO ; 5490 ; --- ; 0 ; 5491 ; TO ; 1044 ; 1 ; 1044 ; 2088 ; TO ; 5499 ; --- ; 0 ; 5500 ; TO ; 1291 ; 1 ; 1291 ; 2583 ; TO ; 1291 ; 1 ; 1291 ; 2583 ; TO
lynch ; 18 ; 2 ; 1 ;4 ; 3 ; 1 ; 5 ; TO ; 4 ; 3 ; 1 ; 5 ; 0.013 ; 4 ; 3 ; 1 ; 5 ; TO ; 3 ; 3 ; 1 ; 4 ; 0.013 ; 3 ; 3 ; 1 ; 4 ; 0.013 ; 3 ; 3 ; 1 ; 4 ; 0.013
