 ; ; ; ; No layers ; ; ; ; Layers ; ; ;
Model ; L ; X ; P ; d ; c ; s ; t ; d ; c ; s ; t
BRP ; 22 ; 7 ; 2 ;30 ; 22 ; 7893 ; TO ; 40 ; 16 ; 7224 ; TO
coffee ; 4 ; 2 ; 3 ;2380 ; 5 ; 283866 ; TO ; 2310 ; 1 ; 267955 ; TO
critical-region ; 20 ; 2 ; 2 ;10 ; 2 ; 6 ; 0.008 ; 10 ; 1 ; 4 ; 0.006
critical-region4 ; 38 ; 4 ; 2 ;20 ; 2 ; 22 ; 0.043 ; 10 ; 1 ; 8 ; 0.020
F3 ; 18 ; 3 ; 0 ;10 ; 1 ; 1 ; 0.003 ; 10 ; 1 ; 1 ; 0.003
F4 ; 23 ; 4 ; 2 ;10 ; 1 ; 1 ; 0.003 ; 10 ; 1 ; 1 ; 0.004
FDDI4 ; 34 ; 13 ; 2 ;80 ; 2 ; 1609 ; 2.161 ; 80 ; 2 ; 2504 ; 3.778
FischerAHV93 ; 13 ; 2 ; 4 ;10 ; 1 ; 11 ; 0.020 ; 10 ; 1 ; 11 ; 0.010
flipflop ; 49 ; 5 ; 2 ;10 ; 6 ; 18 ; 0.015 ; 10 ; 1 ; 8 ; 0.008
fmtv1A1-v2 ; 15 ; 3 ; 3 ;40 ; 55 ; 8820 ; TO ; 40 ; 57 ; 15831 ; 69.456
fmtv1A3-v2 ; 15 ; 3 ; 3 ;40 ; 21 ; 12714 ; TO ; 40 ; 17 ; 15354 ; TO
JLR-TACAS13 ; 2 ; 2 ; 2 ;1210 ; 1209 ; 75019 ; TO ; 2530 ; 253 ; 320266 ; TO
lynch ; 18 ; 2 ; 1 ;10 ; 1 ; 4 ; 0.004 ; 10 ; 1 ; 4 ; 0.004
lynch5 ; 45 ; 5 ; 1 ;10 ; 1 ; 19 ; 0.017 ; 10 ; 1 ; 19 ; 0.019
Pipeline-KP12-2-3 ; 14 ; 4 ; 6 ;30 ; 0 ; 2307 ; TO ; 30 ; 0 ; 1890 ; TO
Pipeline-KP12-2-5 ; 18 ; 4 ; 6 ;30 ; 0 ; 4630 ; TO ; 30 ; 0 ; 2486 ; TO
Pipeline-KP12-3-3 ; 19 ; 5 ; 6 ;30 ; 0 ; 3725 ; TO ; 30 ; 0 ; 2146 ; TO
RCP ; 48 ; 6 ; 5 ;30 ; 10 ; 442 ; 0.748 ; 30 ; 7 ; 358 ; 0.546
Sched2.100.0 ; 17 ; 6 ; 2 ;110 ; 10 ; 3900 ; 4.171 ; 180 ; 5 ; 6109 ; 6.238
Sched2.100.2 ; 17 ; 6 ; 2 ;150 ; 14 ; 15770 ; TO ; 140 ; 9 ; 13827 ; TO
Sched2.50.0 ; 17 ; 6 ; 2 ;110 ; 7 ; 3160 ; 2.892 ; 160 ; 4 ; 4368 ; 4.219
Sched2.50.2 ; 17 ; 6 ; 2 ;150 ; 10 ; 14826 ; TO ; 150 ; 7 ; 13579 ; TO
simop ; 46 ; 8 ; 2 ;40 ; 32 ; 12840 ; TO ; 40 ; 154 ; 11934 ; TO
spsmall ; 52 ; 11 ; 2 ;40 ; 142 ; 4892 ; 8.225 ; 40 ; 142 ; 4912 ; 8.264
tgcTogether2 ; 12 ; 3 ; 6 ;20 ; 4 ; 120 ; 0.107 ; 20 ; 2 ; 100 ; 0.093
WFAS-BBLS15-det ; 10 ; 4 ; 2 ;2610 ; 11 ; 341968 ; TO ; 2300 ; 12 ; 265414 ; TO
