 ; ; ; ; No layers ; ; ; ; Layers ; ; ;
Model ; L ; X ; P ; d ; m ; c ; s ; t ; d ; m ; c ; s ; t
BRP ; 22 ; 7 ; 2 ;20 ; 12 ; 19 ; 7856 ; TO ; 20 ; 14 ; 15 ; 7400 ; TO
coffee ; 4 ; 2 ; 3 ;2030 ; 4 ; 6 ; 413545 ; TO ; 1935 ; 4 ; 1 ; 376478 ; TO
critical-region ; 20 ; 2 ; 2 ;4 ; 3 ; 2 ; 6 ; 0.007 ; 3 ; 3 ; 1 ; 4 ; 0.005
critical-region4 ; 38 ; 4 ; 2 ;10 ; 7 ; 2 ; 16 ; 0.027 ; 7 ; 7 ; 1 ; 8 ; 0.019
F3 ; 18 ; 3 ; 0 ;0 ; 0 ; 1 ; 1 ; 0.002 ; 0 ; 0 ; 1 ; 1 ; 0.003
F4 ; 23 ; 4 ; 2 ;0 ; 0 ; 1 ; 1 ; 0.003 ; 0 ; 0 ; 1 ; 1 ; 0.003
FDDI4 ; 34 ; 13 ; 2 ;70 ; 32 ; 2 ; 2522 ; 2.619 ; 70 ; 38 ; 2 ; 3789 ; 4.414
FischerAHV93 ; 13 ; 2 ; 4 ;4 ; 3 ; 1 ; 11 ; 0.008 ; 4 ; 3 ; 1 ; 11 ; 0.007
flipflop ; 49 ; 5 ; 2 ;7 ; 5 ; 6 ; 18 ; 0.013 ; 7 ; 7 ; 1 ; 8 ; 0.008
fmtv1A1-v2 ; 15 ; 3 ; 3 ;25 ; 13 ; 35 ; 11564 ; TO ; 29 ; 13 ; 53 ; 18182 ; 78.103
fmtv1A3-v2 ; 15 ; 3 ; 3 ;20 ; 13 ; 21 ; 16663 ; TO ; 20 ; 13 ; 18 ; 19640 ; TO
JLR-TACAS13 ; 2 ; 2 ; 2 ;1123 ; 1 ; 1123 ; 128464 ; TO ; 1850 ; 1 ; 370 ; 344865 ; TO
lynch ; 18 ; 2 ; 1 ;3 ; 3 ; 1 ; 4 ; 0.005 ; 3 ; 3 ; 1 ; 4 ; 0.004
lynch5 ; 45 ; 5 ; 1 ;7 ; 7 ; 1 ; 19 ; 0.017 ; 7 ; 7 ; 1 ; 19 ; 0.019
Pipeline-KP12-2-3 ; 14 ; 4 ; 6 ;15 ; --- ; 0 ; 3214 ; TO ; 15 ; --- ; 0 ; 2821 ; TO
Pipeline-KP12-2-5 ; 18 ; 4 ; 6 ;15 ; --- ; 0 ; 3806 ; TO ; 15 ; --- ; 0 ; 5397 ; TO
Pipeline-KP12-3-3 ; 19 ; 5 ; 6 ;15 ; --- ; 0 ; 4156 ; TO ; 15 ; --- ; 0 ; 4232 ; TO
RCP ; 48 ; 6 ; 5 ;10 ; 8 ; 6 ; 146 ; 0.296 ; 10 ; 10 ; 1 ; 49 ; 0.069
Sched2.100.0 ; 17 ; 6 ; 2 ;104 ; 2 ; 10 ; 7106 ; 5.449 ; 174 ; 7 ; 3 ; 11492 ; 9.505
Sched2.100.2 ; 17 ; 6 ; 2 ;130 ; 2 ; 14 ; 27022 ; TO ; 125 ; 7 ; 7 ; 21720 ; TO
Sched2.50.0 ; 17 ; 6 ; 2 ;104 ; 6 ; 9 ; 5768 ; 3.922 ; 138 ; 7 ; 3 ; 7267 ; 5.585
Sched2.50.2 ; 17 ; 6 ; 2 ;135 ; 6 ; 12 ; 23219 ; TO ; 135 ; 7 ; 6 ; 21068 ; TO
simop ; 46 ; 8 ; 2 ;25 ; 15 ; 53 ; 14389 ; TO ; 25 ; 13 ; 117 ; 13805 ; TO
spsmall ; 52 ; 11 ; 2 ;34 ; 25 ; 142 ; 7329 ; 9.417 ; 34 ; 25 ; 142 ; 7400 ; 10.368
tgcTogether2 ; 12 ; 3 ; 6 ;15 ; 13 ; 3 ; 150 ; 0.118 ; 14 ; 13 ; 2 ; 124 ; 0.135
WFAS-BBLS15-det ; 10 ; 4 ; 2 ;1935 ; 3 ; 12 ; 376257 ; TO ; 1675 ; 4 ; 13 ; 282094 ; TO
