 ; ; ; ; No layers ; ; ; ; Layers ; ; ;
Model ; L ; X ; P ; d ; c ; s ; t ; d ; c ; s ; t
BRP ; 22 ; 7 ; 2 ;30 ; 16 ; 8920 ; TO ; 30 ; 19 ; 8144 ; TO
coffee ; 4 ; 2 ; 3 ;2040 ; 1 ; 417186 ; TO ; 1915 ; 1 ; 367681 ; TO
critical-region ; 20 ; 2 ; 2 ;5 ; 2 ; 6 ; 0.008 ; 5 ; 1 ; 4 ; 0.006
critical-region4 ; 38 ; 4 ; 2 ;10 ; 1 ; 75 ; 0.147 ; 10 ; 1 ; 52 ; 0.110
F3 ; 18 ; 3 ; 0 ;5 ; 1 ; 1 ; 0.003 ; 5 ; 1 ; 1 ; 0.004
F4 ; 23 ; 4 ; 2 ;5 ; 1 ; 1 ; 0.003 ; 5 ; 1 ; 1 ; 0.004
FDDI4 ; 34 ; 13 ; 2 ;75 ; 2 ; 2523 ; 2.828 ; 75 ; 2 ; 3728 ; 4.516
FischerAHV93 ; 13 ; 2 ; 4 ;10 ; 1 ; 21 ; 0.008 ; 10 ; 1 ; 21 ; 0.010
flipflop ; 49 ; 5 ; 2 ;10 ; 6 ; 24 ; 0.014 ; 10 ; 1 ; 14 ; 0.009
fmtv1A1-v2 ; 15 ; 3 ; 3 ;30 ; 52 ; 11800 ; TO ; 35 ; 60 ; 21856 ; 81.281
fmtv1A3-v2 ; 15 ; 3 ; 3 ;25 ; 16 ; 16976 ; TO ; 30 ; 16 ; 19903 ; TO
JLR-TACAS13 ; 2 ; 2 ; 2 ;1145 ; 1143 ; 132817 ; TO ; 1890 ; 378 ; 357152 ; TO
lynch ; 18 ; 2 ; 1 ;5 ; 1 ; 4 ; 0.004 ; 5 ; 1 ; 4 ; 0.005
lynch5 ; 45 ; 5 ; 1 ;10 ; 1 ; 186 ; 0.222 ; 10 ; 1 ; 186 ; 0.240
Pipeline-KP12-2-3 ; 14 ; 4 ; 6 ;20 ; 0 ; 3321 ; TO ; 20 ; 0 ; 3164 ; TO
Pipeline-KP12-2-5 ; 18 ; 4 ; 6 ;25 ; 0 ; 5706 ; TO ; 25 ; 0 ; 4465 ; TO
Pipeline-KP12-3-3 ; 19 ; 5 ; 6 ;20 ; 0 ; 4092 ; TO ; 20 ; 0 ; 4927 ; TO
RCP ; 48 ; 6 ; 5 ;20 ; 8 ; 713 ; 1.058 ; 20 ; 8 ; 566 ; 0.754
Sched2.100.0 ; 17 ; 6 ; 2 ;105 ; 10 ; 6959 ; 5.504 ; 175 ; 5 ; 11097 ; 9.389
Sched2.100.2 ; 17 ; 6 ; 2 ;135 ; 14 ; 26990 ; TO ; 130 ; 9 ; 21743 ; TO
Sched2.50.0 ; 17 ; 6 ; 2 ;105 ; 7 ; 5625 ; 3.922 ; 145 ; 4 ; 7426 ; 6.100
Sched2.50.2 ; 17 ; 6 ; 2 ;140 ; 10 ; 23077 ; TO ; 140 ; 7 ; 20945 ; TO
simop ; 46 ; 8 ; 2 ;30 ; 36 ; 14254 ; TO ; 30 ; 95 ; 13841 ; TO
spsmall ; 52 ; 11 ; 2 ;35 ; 142 ; 7737 ; 8.878 ; 35 ; 142 ; 7757 ; 9.808
tgcTogether2 ; 12 ; 3 ; 6 ;20 ; 3 ; 147 ; 0.110 ; 15 ; 2 ; 113 ; 0.103
WFAS-BBLS15-det ; 10 ; 4 ; 2 ;1920 ; 9 ; 367806 ; TO ; 1660 ; 11 ; 276473 ; TO
