 ; ; ; ; No layers ; ; ; ; Layers ; ; ;
Model ; L ; X ; P ; d ; m ; c ; s ; t ; d ; m ; c ; s ; t
 ; 22 ; 12 ; 16 ; 8716 ; TO ; 22 ; 12 ; 16 ; 7858 ; TO
 ; 2077 ; 4 ; 1 ; 433685 ; TO ; 1939 ; 4 ; 1 ; 377514 ; TO
 ; 3 ; 3 ; 1 ; 5 ; 0.006 ; 3 ; 3 ; 1 ; 4 ; 0.005
 ; 5 ; 5 ; 1 ; 62 ; 0.123 ; 5 ; 5 ; 1 ; 29 ; 0.061
 ; 0 ; 0 ; 1 ; 1 ; 0.003 ; 0 ; 0 ; 1 ; 1 ; 0.003
 ; 0 ; 0 ; 1 ; 1 ; 0.004 ; 0 ; 0 ; 1 ; 1 ; 0.004
 ; 70 ; 32 ; 2 ; 1854 ; 2.387 ; 70 ; 61 ; 1 ; 4451 ; 5.099
 ; 4 ; 3 ; 1 ; 19 ; 0.008 ; 4 ; 3 ; 1 ; 19 ; 0.009
 ; 7 ; 5 ; 6 ; 27 ; 0.015 ; 7 ; 5 ; 2 ; 18 ; 0.012
 ; 28 ; 13 ; 49 ; 11815 ; TO ; 29 ; 13 ; 57 ; 20933 ; 83.168
 ; 23 ; 13 ; 8 ; 17990 ; TO ; 23 ; 13 ; 13 ; 21419 ; TO
 ; 1178 ; 1 ; 1178 ; 141479 ; TO ; 1908 ; 1 ; 382 ; 366910 ; TO
 ; 3 ; 3 ; 1 ; 4 ; 0.006 ; 3 ; 3 ; 1 ; 4 ; 0.004
 ; 5 ; 5 ; 1 ; 76 ; 0.074 ; 5 ; 5 ; 1 ; 76 ; 0.079
 ; 32 ; 26 ; 14 ; 2172 ; TO ; 32 ; 31 ; 52 ; 4095 ; 45.308
 ; 44 ; --- ; 0 ; 2207 ; TO ; 44 ; 43 ; 44 ; 3459 ; TO
 ; 59 ; 50 ; 12 ; 944 ; TO ; 59 ; 53 ; 3 ; 1151 ; TO
 ; 13 ; 8 ; 7 ; 426 ; 0.698 ; 13 ; 8 ; 5 ; 277 ; 0.339
 ; 104 ; 2 ; 7 ; 7218 ; 5.392 ; 174 ; 2 ; 4 ; 11296 ; 9.213
 ; 132 ; 2 ; 12 ; 27508 ; TO ; 122 ; 2 ; 8 ; 21898 ; TO
 ; 104 ; 6 ; 8 ; 5814 ; 3.934 ; 152 ; 6 ; 3 ; 8508 ; 6.498
 ; 136 ; 6 ; 11 ; 24164 ; TO ; 136 ; 6 ; 6 ; 21525 ; TO
 ; 23 ; 13 ; 49 ; 14032 ; TO ; 23 ; 13 ; 84 ; 13274 ; TO
 ; 34 ; 25 ; 142 ; 5061 ; 9.521 ; 34 ; 25 ; 142 ; 5132 ; 10.036
 ; 18 ; 13 ; 4 ; 163 ; 0.138 ; 14 ; 13 ; 2 ; 131 ; 0.173
 ; 1923 ; 3 ; 9 ; 372979 ; TO ; 1413 ; 3 ; 9 ; 202021 ; TO
