 ; ; ; ; accepting ; ; ; ; ; ; param ; ; ; ; ; ; zone ; ; ; ; ;
Model ; L ; X ; P ; i ; d ; m ; c ; s ; t ; i ; d ; m ; c ; s ; t ; i ; d ; m ; c ; s ; t
BRP ; 22 ; 7 ; 2 ; 12 ; 22 ; 12 ; 9 ; 8130 ; TO ; 12 ; 17 ; 12 ; 2 ; 1363 ; TO ; 12 ; 22 ; 12 ; 9 ; 5858 ; TO
coffee ; 4 ; 2 ; 3 ; 4 ; 1936 ; 4 ; 1 ; 377331 ; TO ; 4 ; 1934 ; 4 ; 1 ; 376073 ; TO ; 4 ; 1935 ; 4 ; 1 ; 377330 ; TO
critical-region ; 20 ; 2 ; 2 ; 3 ; 3 ; 3 ; 1 ; 4 ; 0.020 ; 3 ; 3 ; 3 ; 1 ; 4 ; 0.007 ; 3 ; 3 ; 3 ; 1 ; 4 ; 0.006
critical-region4 ; 38 ; 4 ; 2 ; 5 ; 5 ; 5 ; 1 ; 29 ; 0.062 ; 5 ; 5 ; 5 ; 1 ; 29 ; 0.090 ; 5 ; 5 ; 5 ; 1 ; 29 ; 0.066
F3 ; 18 ; 3 ; 0 ; 0 ; 0 ; 0 ; 1 ; 1 ; 0.003 ; 0 ; 0 ; 0 ; 1 ; 1 ; 0.003 ; 0 ; 0 ; 0 ; 1 ; 1 ; 0.003
F4 ; 23 ; 4 ; 2 ; 0 ; 0 ; 0 ; 1 ; 1 ; 0.004 ; 0 ; 0 ; 0 ; 1 ; 1 ; 0.003 ; 0 ; 0 ; 0 ; 1 ; 1 ; 0.003
FDDI4 ; 34 ; 13 ; 2 ; 32 ; 70 ; 32 ; 2 ; 2044 ; 3.107 ; 32 ; 70 ; 61 ; 1 ; 4229 ; 4.828 ; 32 ; 70 ; 33 ; 2 ; 2238 ; 2.976
FischerAHV93 ; 13 ; 2 ; 4 ; 3 ; 4 ; 3 ; 1 ; 19 ; 0.021 ; 3 ; 4 ; 3 ; 1 ; 19 ; 0.010 ; 3 ; 4 ; 3 ; 1 ; 19 ; 0.009
flipflop ; 49 ; 5 ; 2 ; 5 ; 7 ; 5 ; 2 ; 18 ; 0.012 ; 5 ; 7 ; 5 ; 2 ; 18 ; 0.012 ; 5 ; 7 ; 5 ; 2 ; 18 ; 0.011
